-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2677,2675,2672,2669,2666,2662,2658,2654,2650,2646,2641,2636,2631,2626,2621,2615,2609,2603,2596,2589,2583,2575,2568,2561,2553,2545,2536,2528,2517,2502,2483,2460,2433,2404,2372,2338,2303,2267,2232,2197,2163,2132,2103,2077,2054,2035,2020,2007,1993,1979,1965,1950,1936,1921,1905,1890,1874,1858,1842,1825,1808,1791,1773,1755,1737,1718,1700,1680,1661,1641,1621,1600,1579,1558,1536,1514,1491,1468,1444,1420,1395,1370,1344,1317,1290,1262,1233,1203,1172,1139
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2570,2567,2564,2560,2556,2551,2547,2542,2537,2531,2525,2520,2513,2507,2500,2493,2486,2478,2470,2462,2454,2445,2437,2427,2418,2408,2398,2388,2376,2359,2339,2316,2289,2259,2227,2193,2157,2120,2084,2047,2012,1977,1945,1915,1888,1863,1842,1824,1808,1792,1775,1758,1740,1723,1705,1686,1668,1649,1629,1610,1590,1569,1549,1528,1506,1485,1463,1440,1417,1394,1370,1346,1322,1297,1272,1246,1219,1193,1165,1137,1109,1080,1050,1019,988,956,923,889,853,816
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2883,2881,2878,2875,2871,2867,2864,2859,2855,2850,2845,2840,2835,2829,2823,2817,2810,2804,2797,2789,2782,2774,2766,2758,2749,2740,2731,2722,2710,2695,2676,2653,2627,2598,2567,2533,2499,2463,2427,2392,2357,2324,2293,2264,2237,2214,2194,2177,2162,2146,2130,2114,2098,2081,2064,2047,2029,2011,1993,1974,1955,1936,1916,1896,1876,1855,1834,1812,1790,1768,1745,1722,1698,1674,1650,1625,1599,1573,1546,1519,1491,1462,1433,1403,1372,1340,1306,1272,1236,1199
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2869,2866,2863,2860,2857,2854,2850,2846,2842,2837,2833,2828,2823,2818,2812,2806,2800,2794,2788,2781,2774,2767,2760,2752,2744,2736,2728,2720,2709,2694,2675,2652,2625,2596,2564,2530,2495,2459,2423,2389,2355,2324,2295,2269,2246,2227,2212,2198,2185,2171,2156,2142,2127,2112,2096,2081,2065,2049,2032,2015,1998,1981,1963,1945,1926,1907,1888,1869,1849,1828,1808,1787,1765,1743,1721,1698,1675,1651,1626,1601,1576,1549,1522,1495,1466,1436,1405,1373,1340,1305
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2590,2588,2585,2582,2578,2574,2571,2566,2562,2557,2552,2547,2542,2536,2530,2524,2517,2510,2503,2496,2488,2480,2472,2464,2455,2446,2437,2426,2411,2393,2371,2347,2320,2290,2258,2225,2191,2157,2122,2088,2054,2022,1992,1964,1939,1916,1896,1880,1864,1849,1833,1816,1800,1783,1766,1748,1730,1712,1694,1675,1656,1636,1616,1596,1576,1555,1534,1512,1490,1468,1445,1422,1398,1374,1350,1325,1299,1273,1247,1220,1192,1164,1135,1105,1075,1044,1012,978,944,908
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2655,2651,2647,2643,2638,2634,2629,2624,2619,2613,2607,2601,2595,2589,2582,2575,2568,2561,2553,2545,2537,2529,2521,2512,2503,2494,2484,2475,2463,2447,2428,2405,2379,2350,2318,2285,2250,2215,2179,2144,2109,2076,2045,2016,1990,1966,1947,1930,1915,1900,1885,1869,1853,1837,1820,1803,1786,1769,1751,1733,1714,1696,1677,1658,1638,1618,1598,1577,1556,1535,1513,1490,1468,1445,1421,1397,1373,1348,1322,1296,1270,1242,1214,1185,1155,1125,1093,1060,1026,990
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2673,2669,2665,2660,2655,2650,2645,2639,2633,2627,2621,2614,2607,2600,2592,2585,2577,2568,2560,2551,2542,2532,2523,2513,2502,2492,2481,2470,2457,2439,2417,2391,2362,2330,2295,2258,2220,2181,2143,2105,2068,2033,2001,1972,1946,1924,1905,1888,1871,1853,1835,1817,1798,1779,1760,1740,1720,1700,1679,1658,1637,1615,1593,1570,1547,1524,1500,1476,1451,1426,1400,1374,1347,1320,1292,1264,1235,1205,1175,1144,1112,1079,1046,1011,976,939,901,861,820,776
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2583,2581,2578,2574,2571,2567,2563,2559,2554,2550,2544,2539,2534,2528,2522,2515,2509,2502,2495,2487,2480,2472,2463,2455,2446,2437,2428,2418,2408,2397,2381,2361,2338,2311,2282,2250,2216,2181,2145,2109,2073,2037,2004,1972,1942,1915,1891,1871,1853,1837,1821,1805,1788,1771,1754,1736,1718,1700,1681,1662,1643,1623,1603,1583,1562,1541,1519,1497,1475,1452,1429,1406,1382,1357,1332,1307,1281,1254,1227,1199,1171,1142,1112,1081,1050,1018,984,949,913,875
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2624,2621,2619,2616,2613,2610,2606,2602,2598,2594,2590,2585,2580,2575,2570,2564,2558,2552,2546,2540,2533,2526,2519,2512,2504,2496,2488,2480,2469,2455,2437,2415,2390,2363,2333,2301,2267,2233,2199,2164,2131,2099,2070,2042,2017,1995,1977,1962,1948,1934,1920,1906,1891,1876,1861,1846,1830,1814,1798,1781,1764,1747,1729,1712,1693,1675,1656,1637,1617,1597,1577,1556,1535,1514,1492,1469,1446,1423,1399,1374,1349,1324,1297,1270,1242,1213,1183,1152,1120,1086
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2653,2649,2646,2642,2637,2633,2628,2623,2618,2612,2606,2600,2594,2587,2580,2573,2565,2557,2549,2541,2533,2524,2515,2505,2496,2486,2475,2463,2447,2428,2406,2380,2352,2321,2288,2254,2219,2183,2147,2112,2078,2044,2013,1984,1957,1934,1913,1894,1878,1861,1844,1826,1808,1790,1771,1752,1733,1713,1693,1673,1652,1631,1610,1588,1566,1543,1520,1496,1473,1448,1424,1398,1373,1346,1320,1292,1264,1236,1207,1177,1147,1115,1083,1050,1016,981,945,907,868,827
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
